地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,蛍光灯・乾電池,燃やさないごみ,かん,びん,剪定枝・草,ペットボトル・衣類,紙類
稲屋,,月 木,20200204 20200407 20200602 20200804 20201006 20201201,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
友沢,,月 木,20200204 20200407 20200602 20200804 20201006 20201201,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
楠木平,,月 木,20200204 20200407 20200602 20200804 20201006 20201201,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
鳩里団地,,月 木,20200204 20200407 20200602 20200804 20201006 20201201,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
粟津,,月 木,20200221 20200417 20200619 20200821 20201016 20201218,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
南粟津,,月 木,20200221 20200417 20200619 20200821 20201016 20201218,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
北在家,,月 木,20200221 20200417 20200619 20200821 20201016 20201218,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
備後,,月 木,20200221 20200417 20200619 20200821 20201016 20201218,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
南備後,,月 木,20200221 20200417 20200619 20200821 20201016 20201218,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200117 20200214 20200313 20200410 20200508 20200612 20200710 20200814 20200911 20201009 20201113 20201211,20200131 20200228 20200327 20200424 20200522 20200626 20200724 20200828 20200925 20201023 20201127 20201225,20200117 20200131 20200214 20200228 20200313 20200327 20200410 20200424 20200508 20200522 20200612 20200626 20200710 20200724 20200814 20200828 20200911 20200925 20201009 20201023 20201113 20201127 20201211 20201225,20200110 20200207 20200306 20200403 20200501 20200605 20200703 20200807 20200904 20201002 20201106 20201204,20200110 20200124 20200207 20200221 20200306 20200320 20200403 20200417 20200501 20200515 20200605 20200619 20200703 20200717 20200807 20200821 20200904 20200918 20201002 20201016 20201106 20201120 20201204 20201218
大野,,月 木,20200228 20200424 20200626 20200828 20201023 20201225,20200115 20200212 20200311 20200408 20200513 20200610 20200708 20200812 20200909 20201014 20201111 20201209,20200128 20200225 20200324 20200428 20200526 20200623 20200728 20200825 20200922 20201027 20201124 20201222,20200114 20200211 20200310 20200414 20200512 20200609 20200714 20200811 20200908 20201013 20201110 20201208,20200114 20200128 20200211 20200225 20200310 20200324 20200414 20200428 20200512 20200526 20200609 20200623 20200714 20200728 20200811 20200825 20200908 20200922 20201013 20201027 20201110 20201124 20201208 20201222,20200121 20200218 20200317 20200421 20200519 20200616 20200721 20200818 20200915 20201020 20201117 20201215,20200107 20200121 20200204 20200218 20200303 20200317 20200407 20200421 20200505 20200519 20200602 20200616 20200707 20200721 20200804 20200818 20200901 20200915 20201006 20201020 20201103 20201117 20201201 20201215
西大野,,月 木,20200228 20200424 20200626 20200828 20201023 20201225,20200115 20200212 20200311 20200408 20200513 20200610 20200708 20200812 20200909 20201014 20201111 20201209,20200128 20200225 20200324 20200428 20200526 20200623 20200728 20200825 20200922 20201027 20201124 20201222,20200114 20200211 20200310 20200414 20200512 20200609 20200714 20200811 20200908 20201013 20201110 20201208,20200114 20200128 20200211 20200225 20200310 20200324 20200414 20200428 20200512 20200526 20200609 20200623 20200714 20200728 20200811 20200825 20200908 20200922 20201013 20201027 20201110 20201124 20201208 20201222,20200121 20200218 20200317 20200421 20200519 20200616 20200721 20200818 20200915 20201020 20201117 20201215,20200107 20200121 20200204 20200218 20200303 20200317 20200407 20200421 20200505 20200519 20200602 20200616 20200707 20200721 20200804 20200818 20200901 20200915 20201006 20201020 20201103 20201117 20201201 20201215
中津,,月 木,20200228 20200424 20200626 20200828 20201023 20201225,20200115 20200212 20200311 20200408 20200513 20200610 20200708 20200812 20200909 20201014 20201111 20201209,20200128 20200225 20200324 20200428 20200526 20200623 20200728 20200825 20200922 20201027 20201124 20201222,20200114 20200211 20200310 20200414 20200512 20200609 20200714 20200811 20200908 20201013 20201110 20201208,20200114 20200128 20200211 20200225 20200310 20200324 20200414 20200428 20200512 20200526 20200609 20200623 20200714 20200728 20200811 20200825 20200908 20200922 20201013 20201027 20201110 20201124 20201208 20201222,20200121 20200218 20200317 20200421 20200519 20200616 20200721 20200818 20200915 20201020 20201117 20201215,20200107 20200121 20200204 20200218 20200303 20200317 20200407 20200421 20200505 20200519 20200602 20200616 20200707 20200721 20200804 20200818 20200901 20200915 20201006 20201020 20201103 20201117 20201201 20201215
河原第１,,月 木,20200117 20200313 20200508 20200710 20200911 20201113,20200115 20200212 20200311 20200408 20200513 20200610 20200708 20200812 20200909 20201014 20201111 20201209,20200128 20200225 20200324 20200428 20200526 20200623 20200728 20200825 20200922 20201027 20201124 20201222,20200114 20200211 20200310 20200414 20200512 20200609 20200714 20200811 20200908 20201013 20201110 20201208,20200114 20200128 20200211 20200225 20200310 20200324 20200414 20200428 20200512 20200526 20200609 20200623 20200714 20200728 20200811 20200825 20200908 20200922 20201013 20201027 20201110 20201124 20201208 20201222,20200121 20200218 20200317 20200421 20200519 20200616 20200721 20200818 20200915 20201020 20201117 20201215,20200107 20200121 20200204 20200218 20200303 20200317 20200407 20200421 20200505 20200519 20200602 20200616 20200707 20200721 20200804 20200818 20200901 20200915 20201006 20201020 20201103 20201117 20201201 20201215
河原第３,,月 木,20200117 20200313 20200508 20200710 20200911 20201113,20200115 20200212 20200311 20200408 20200513 20200610 20200708 20200812 20200909 20201014 20201111 20201209,20200128 20200225 20200324 20200428 20200526 20200623 20200728 20200825 20200922 20201027 20201124 20201222,20200114 20200211 20200310 20200414 20200512 20200609 20200714 20200811 20200908 20201013 20201110 20201208,20200114 20200128 20200211 20200225 20200310 20200324 20200414 20200428 20200512 20200526 20200609 20200623 20200714 20200728 20200811 20200825 20200908 20200922 20201013 20201027 20201110 20201124 20201208 20201222,20200121 20200218 20200317 20200421 20200519 20200616 20200721 20200818 20200915 20201020 20201117 20201215,20200107 20200121 20200204 20200218 20200303 20200317 20200407 20200421 20200505 20200519 20200602 20200616 20200707 20200721 20200804 20200818 20200901 20200915 20201006 20201020 20201103 20201117 20201201 20201215
美乃利,,月 木,20200117 20200313 20200508 20200710 20200911 20201113,20200115 20200212 20200311 20200408 20200513 20200610 20200708 20200812 20200909 20201014 20201111 20201209,20200128 20200225 20200324 20200428 20200526 20200623 20200728 20200825 20200922 20201027 20201124 20201222,20200114 20200211 20200310 20200414 20200512 20200609 20200714 20200811 20200908 20201013 20201110 20201208,20200114 20200128 20200211 20200225 20200310 20200324 20200414 20200428 20200512 20200526 20200609 20200623 20200714 20200728 20200811 20200825 20200908 20200922 20201013 20201027 20201110 20201124 20201208 20201222,20200121 20200218 20200317 20200421 20200519 20200616 20200721 20200818 20200915 20201020 20201117 20201215,20200107 20200121 20200204 20200218 20200303 20200317 20200407 20200421 20200505 20200519 20200602 20200616 20200707 20200721 20200804 20200818 20200901 20200915 20201006 20201020 20201103 20201117 20201201 20201215
河原第２,,月 木,20200124 20200320 20200515 20200717 20200918 20201120,20200115 20200212 20200311 20200408 20200513 20200610 20200708 20200812 20200909 20201014 20201111 20201209,20200108 20200205 20200304 20200401 20200506 20200603 20200701 20200805 20200902 20201007 20201104 20201202,20200122 20200219 20200318 20200415 20200520 20200617 20200715 20200819 20200916 20201021 20201118 20201216,20200108 20200122 20200205 20200219 20200304 20200318 20200401 20200415 20200506 20200520 20200603 20200617 20200701 20200715 20200805 20200819 20200902 20200916 20201007 20201021 20201104 20201118 20201202 20201216,20200129 20200226 20200325 20200422 20200527 20200624 20200722 20200826 20200923 20201028 20201125 20201223,20200115 20200129 20200212 20200226 20200311 20200325 20200408 20200422 20200513 20200527 20200610 20200624 20200708 20200722 20200812 20200826 20200909 20200923 20201014 20201028 20201111 20201125 20201209 20201223
